SCH_5200	2011-10-10	2012-07-16	281	SCH_5200_11	QM	15	ATT_0208	0.058
SCH_5000	2011-10-12	2012-07-22	285	SCH_5000_10	QM	15	GEN_0102	0.036
SCH_5200	2011-11-22	2012-07-22	244	SCH_5200_12	QM	15	GEN_0102	0.038
STO_6100	2012-01-20	2012-07-23	186	STO_6100_8	QM	15	GEN_0102	0.023
SCH_5200	2012-03-19	2012-08-08	143	SCH_5200_13	QM	15	GEN_0102	0.037
STO_6000	2012-04-13	2012-09-06	147	STO_6000_4	QM	15	STO_6100	0.104
LAP_0198	2012-05-13	2012-09-19	130	LAP_0198_4	QM	15	ATT_0208	0.011
SCH_5000	2012-06-19	2012-10-02	106	SCH_5000_11	QM	15	GEN_0102	0.057
SCH_5200	2012-06-19	2012-10-23	127	SCH_5200_14	QM	15	GEN_0102	0.029
COR_0200	2012-06-21	2012-11-15	148	COR_0200_2	QM	15	SBE_0290	0.536
LAP_0198	2012-08-08	2013-01-24	170	LAP_0198_5	QM	15	ATT_0208	0.007
LAP_0198	2012-09-06	2013-07-22	320	LAP_0198_6	QM	15	ATT_0208	0.007
TSA_0104	2012-09-19	2013-10-10	387	TSA_0104_1	QM	15	ATT_0208	0.056
LAP_0198	2012-10-02	2013-10-27	391	LAP_0198_7	QM	15	GEN_0102	0.007
SCH_5200	2012-11-05	2013-10-27	357	SCH_5200_15	QM	15	GEN_0102	0.04
LAP_1108	2012-12-01	2013-11-06	341	LAP_1108_3	QM	15	LAP_0198	0.028
FLU_0102	2012-12-27	2013-12-17	356	FLU_0102_3	QM	15	COR_0200	0.37
DRE_0104	2013-02-28	2014-01-03	310	DRE_0104_1	QM	15	STO_6100	0.351
LAP_1208	2013-04-12	2014-05-05	389	LAP_1208_3	QM	15	LAP_0198	0.021
RIT_0102	2013-05-12	2014-07-14	429	RIT_0102_12	QM	15	SBE_0290	0.035
MB_0196	2013-08-20	2014-07-17	332	MB_0196_2	QM	15	SBE_0290	0.044
TSA_0104	2013-10-08	2014-09-04	332	TSA_0104_2	QM	15	SBE_0290	0.045
ATT_0108	2013-10-27	2014-09-11	320	ATT_0108_2	QM	15	ATT_0208	0.066
ATT_0208	2013-10-27	2014-09-14	323	ATT_0208_2	QM	15	GEN_0102	0.025
GEM_0106	2013-11-27	2014-09-23	301	GEM_0106_2	QM	15	ATT_0108	0.088
LAP_0198	2014-05-05	2015-07-01	423	LAP_0198_8	QM	15	ATT_0208	0.008
ATT_0108	2014-07-17	2015-07-08	357	ATT_0108_3	QM	15	ATT_0208	0.064
ATT_0208	2014-07-17	2015-09-30	441	ATT_0208_3	QM	15	ATT_0108	0.032
LAP_1208	2015-04-10	2016-07-30	478	LAP_1208_4	QM	15	ATT_0208	0.016
MAT_0205	2015-07-02	2016-08-22	418	MAT_0205_2	QM	15	ATT_0108	0.12
SCH_5000	2016-03-22	2016-09-13	176	SCH_5000_12	QM	15	GEN_0102	0.054
SCH_5000	2016-03-27	2016-10-09	197	SCH_5000_13	QM	15	GEN_0102	0.054
SCH_5000	2016-04-05	2016-12-30	270	SCH_5000_14	QM	15	ATT_0208	0.072
SCH_5000	2016-06-01	2017-03-02	275	SCH_5000_15	QM	15	SCH_5200	0.086
SCH_5200	2016-06-02	2017-04-06	309	SCH_5200_16	QM	15	SCH_5000	0.049
SCH_5000	2016-07-27	2017-05-22	300	SCH_5000_16	QM	15	SCH_5200	0.087
SCH_5200	2016-07-27	2017-05-22	300	SCH_5200_17	QM	15	SCH_5000	0.043
STO_6000	2016-08-01	2017-07-13	347	STO_6000_5	QM	15	ATT_0108	0.081
SCH_5000	2016-10-05	2017-08-06	306	SCH_5000_17	QM	15	GEN_0102	0.041
STO_6100	2016-11-07	2017-09-24	322	STO_6100_9	QM	15	SCH_5000	0.045
SCH_5200	2017-03-30	2017-10-17	202	SCH_5200_18	QM	15	SCH_5000	0.059
SCH_5200	2017-04-13	2017-10-17	188	SCH_5200_19	QM	15	SCH_5000	0.059
SCH_5000	2017-04-16	2017-11-01	200	SCH_5000_18	QM	15	SCH_5200	0.088
