SCH_5000	2011-10-12	2012-03-22	163	SCH_5000_10	QM	15	GEN_0102	0.169
SCH_5000	2011-10-25	2012-03-22	150	SCH_5000_11	QM	15	GEN_0102	0.142
SCH_5198	2011-10-25	2012-03-22	150	SCH_5198_7	QM	15	SBE_0290	0.234
SCH_5200	2011-11-22	2012-04-13	144	SCH_5200_12	QM	15	GEN_0102	0.074
SCH_5198	2011-12-05	2012-07-16	225	SCH_5198_8	QM	15	SBE_0290	0.236
STO_6100	2012-01-20	2012-07-22	185	STO_6100_8	QM	15	GEN_0102	0.324
SCH_5198	2012-03-19	2012-07-22	126	SCH_5198_9	QM	15	GEN_0102	0.289
SCH_5200	2012-03-19	2012-07-22	126	SCH_5200_13	QM	15	GEN_0102	0.078
STO_6000	2012-04-13	2012-08-16	126	STO_6000_4	QM	15	STO_6100	0.247
LAP_0198	2012-05-16	2012-10-23	161	LAP_0198_4	QM	15	SBE_0290	0.096
SCH_5000	2012-06-19	2012-10-30	134	SCH_5000_12	QM	15	STO_6100	0.236
SCH_5198	2012-06-19	2012-11-15	150	SCH_5198_10	QM	15	GEM_0106	0.322
SCH_5200	2012-06-19	2013-01-16	212	SCH_5200_14	QM	15	GEN_0102	0.062
COR_0200	2012-06-21	2013-01-18	212	COR_0200_2	QM	15	DRE_0104	0.529
COR_0287	2012-10-06	2013-01-20	107	COR_0287_6	QM	15	COR_0200	0.234
SCH_5200	2012-11-05	2013-01-26	83	SCH_5200_15	QM	15	GEN_0102	0.04
LAP_1108	2012-12-01	2013-07-22	234	LAP_1108_3	QM	15	ATT_0208	0.144
COR_0287	2013-01-08	2013-09-30	266	COR_0287_7	QM	15	COR_0200	0.374
COR_0287	2013-01-18	2013-10-10	266	COR_0287_8	QM	15	COR_0200	0.355
COR_0287	2013-01-20	2013-10-21	275	COR_0287_9	QM	15	COR_0200	0.342
COR_0287	2013-01-23	2013-10-27	278	COR_0287_10	QM	15	COR_0200	0.333
DRE_0104	2013-02-28	2013-10-27	242	DRE_0104_1	QM	15	GEM_0106	0.958
LAP_0198	2013-03-26	2013-11-06	226	LAP_0198_5	QM	15	GEM_0106	0.128
LAP_1208	2013-04-12	2013-11-24	227	LAP_1208_3	QM	15	COR_0287	0.143
MB_0196	2013-08-20	2013-12-17	120	MB_0196_2	QM	15	SBE_0290	0.051
RIT_0102	2013-08-21	2014-03-08	200	RIT_0102_7	QM	15	MAT_0205	0.178
ATT_0108	2013-10-27	2014-03-24	149	ATT_0108_2	QM	15	MAT_0205	0.255
ATT_0208	2013-10-27	2014-03-28	153	ATT_0208_2	QM	15	STO_6100	0.154
GEM_0106	2013-11-27	2014-07-14	230	GEM_0106_2	QM	15	COR_0287	0.354
LAP_0198	2013-12-21	2014-07-17	209	LAP_0198_6	QM	15	SBE_0290	0.137
LAP_0198	2014-03-23	2014-07-19	119	LAP_0198_7	QM	15	GEN_0102	0.223
LAP_0198	2014-03-28	2014-08-12	138	LAP_0198_8	QM	15	GEN_0102	0.204
LAP_0198	2014-04-22	2014-09-01	133	LAP_0198_9	QM	15	GEM_0106	0.125
ATT_0108	2014-07-17	2014-09-04	50	ATT_0108_3	QM	15	STO_6100	0.03
ATT_0208	2014-07-17	2014-09-11	57	ATT_0208_3	QM	15	STO_6000	0.016
MB_0196	2014-08-06	2014-09-14	40	MB_0196_3	QM	15	COR_0287	0.056
MUR_0199	2014-08-08	2014-09-23	47	MUR_0199_3	QM	15	COR_0287	0.443
MUR_0299	2014-08-08	2014-11-03	88	MUR_0299_2	QM	15	COR_0200	0.329
MUR_0499	2014-08-08	2015-03-07	212	MUR_0499_2	QM	15	SBE_0290	0.12
COR_0287	2014-08-11	2015-07-01	325	COR_0287_11	QM	15	COR_0200	0.404
SCH_5000	2014-08-15	2015-07-08	328	SCH_5000_13	QM	15	SCH_5198	0.217
DRE_0104	2014-08-26	2015-09-30	401	DRE_0104_2	QM	15	COR_0287	1.643
COR_0287	2014-09-01	2015-09-30	395	COR_0287_12	QM	15	COR_0200	0.372
GEM_0106	2014-09-09	2015-12-16	464	GEM_0106_3	QM	15	COR_0287	0.313
COR_0287	2014-09-24	2015-12-20	453	COR_0287_13	QM	15	COR_0200	0.387
COR_0287	2014-11-13	2016-01-02	416	COR_0287_14	QM	15	COR_0200	0.435
LAP_1208	2015-04-10	2016-01-22	288	LAP_1208_4	QM	15	COR_0287	0.173
MAT_0205	2015-07-02	2016-05-28	332	MAT_0205_2	QM	15	ATT_0108	0.69
RIT_0102	2015-10-09	2016-07-04	270	RIT_0102_8	QM	15	ATT_0108	0.303
COR_0287	2015-12-19	2016-07-19	214	COR_0287_15	QM	15	COR_0200	0.479
COR_0287	2015-12-22	2016-07-19	211	COR_0287_16	QM	15	COR_0200	0.472
COR_0287	2016-01-22	2016-07-29	190	COR_0287_17	QM	15	COR_0200	0.43
JFJ_0195	2016-05-28	2016-08-22	87	JFJ_0195_1	QM	15	RIT_0102	0.284
SCH_5198	2016-06-01	2016-08-30	91	SCH_5198_11	QM	15	SBE_0290	0.211
SCH_5200	2016-06-02	2016-09-13	104	SCH_5200_16	QM	15	GEN_0102	0.073
JFJ_0195	2016-06-07	2016-10-04	120	JFJ_0195_2	QM	15	RIT_0102	0.271
SCH_5200	2016-07-27	2016-11-06	103	SCH_5200_17	QM	15	GEN_0102	0.059
STO_6000	2016-08-01	2016-12-17	139	STO_6000_5	QM	15	ATT_0108	0.149
SCH_5198	2016-08-30	2016-12-30	123	SCH_5198_12	QM	15	GEM_0106	0.258
STO_6100	2016-11-07	2017-04-06	151	STO_6100_9	QM	15	STO_6000	0.103
COR_0287	2016-12-08	2017-04-06	120	COR_0287_18	QM	15	COR_0200	0.442
SCH_5198	2017-03-30	2017-05-22	54	SCH_5198_13	QM	15	GEN_0102	0.273
SCH_5200	2017-03-30	2017-05-22	54	SCH_5200_18	QM	15	GEN_0102	0.067
SCH_5198	2017-04-13	2017-05-22	40	SCH_5198_14	QM	15	GEN_0102	0.274
SCH_5200	2017-04-13	2017-08-09	119	SCH_5200_19	QM	15	GEN_0102	0.081
SCH_5000	2017-04-16	2017-09-24	162	SCH_5000_14	QM	15	STO_6000	0.305
DRE_0104	2017-09-21	2017-10-17	27	DRE_0104_3	QM	15	COR_0287	2.462
STO_6000	2017-10-12	2017-10-17	6	STO_6000_6	QM	15	ATT_0108	0.053
