Time,0.2,0.7,1.7,2.45,2.8,3.15,3.6,4.05,4.5,5,5.6,6.7,8,9.5,11.1,13.5,16,18,19.6
1999-11-16 00:00:00,,-0.31,-0.02,-0.02,-0.01,-0.01,-0.01,,-0.02,,,-0.04,,,-0.17,,,,
1999-11-17 00:00:00,,-0.23,-0.01,-0.01,0,-0.01,-0.01,,-0.01,,,-0.04,,,-0.17,,,,
1999-11-18 00:00:00,,-0.19,-0.01,0.01,0,-0.02,0,,-0.02,,,-0.04,,,-0.17,,,,
1999-11-19 00:00:00,,-0.16,-0.01,-0.03,0.02,-0.01,-0.02,,-0.02,,,-0.04,,,-0.18,,,,
1999-11-20 00:00:00,,-0.15,-0.02,-0.03,0.02,-0.01,0,,-0.01,,,-0.05,,,-0.18,,,,
1999-11-21 00:00:00,,-0.14,-0.01,-0.03,0.02,0,0,,0,,,-0.05,,,-0.17,,,,
1999-11-22 00:00:00,,-0.15,-0.01,-0.01,0,-0.01,-0.01,,-0.02,,,-0.04,,,-0.17,,,,
1999-11-23 00:00:00,,-0.14,-0.04,-0.02,0.01,-0.02,-0.01,,-0.02,,,-0.04,,,-0.18,,,,
1999-11-24 00:00:00,,-0.14,-0.04,-0.02,0.01,-0.02,-0.01,,-0.01,,,-0.04,,,-0.17,,,,
1999-11-25 00:00:00,,-0.3,-0.04,-0.02,0.01,-0.02,-0.01,,0,,,-0.04,,,-0.17,,,,
1999-11-26 00:00:00,,-0.99,-0.06,-0.03,0.01,-0.02,0,,0.01,,,-0.03,,,-0.16,,,,
1999-11-27 00:00:00,,-2.38,-0.12,-0.04,-0.01,-0.02,0,,-0.01,,,-0.04,,,-0.16,,,,
1999-11-28 00:00:00,,-3.54,-0.19,-0.06,0,-0.02,-0.01,,-0.02,,,-0.06,,,-0.18,,,,
1999-11-29 00:00:00,,-4.3,-0.24,-0.08,0.01,-0.01,0,,-0.02,,,-0.05,,,-0.18,,,,
1999-11-30 00:00:00,,-4.37,-0.32,-0.09,0.01,-0.01,0,,-0.01,,,-0.06,,,-0.16,,,,
1999-12-01 00:00:00,,-3.96,-0.27,-0.03,0.02,-0.01,0,,-0.02,,,-0.05,,,-0.15,,,,
1999-12-02 00:00:00,,-3.43,-0.32,-0.05,-0.01,-0.01,0,,-0.01,,,-0.06,,,-0.15,,,,
1999-12-03 00:00:00,,-3.05,-0.23,-0.03,0,-0.01,0.01,,0,,,-0.05,,,-0.15,,,,
1999-12-04 00:00:00,,-2.29,-0.18,-0.06,-0.03,-0.04,0,,-0.01,,,-0.05,,,-0.15,,,,
